customer_number,campaign_period_sales,historical_sales_volume,date_of_first_purchase,number_of_prior_year_transactions,do_not_direct_mail_solicit,do_not_email,do_not_telemarket,repurchase_method,last_transaction_channel,desk,executive_chair,standard_chair,monitor,printer,computer,insurance,toner,office_supplies,number_of_employees,language,num_emp,cp_sales,years_as_customer,hist_sales_bin,hist_years_as_customer_bin,hist_transactions_bin,repurchase_method_AUTO RENEW,repurchase_method_NOTICE,repurchase_method_PAYMENT PLAN,last_transaction_channel_AUTO RENEW,last_transaction_channel_BILLING,last_transaction_channel_BRANCH (PHONE),last_transaction_channel_BRANCH (POS),last_transaction_channel_IT,last_transaction_channel_MAIL,last_transaction_channel_NONE,last_transaction_channel_PHONE,last_transaction_channel_WEB,num_emp_avg_3,num_emp_avg_8,num_emp_avg_25,num_emp_avg_75,num_emp_avg_300,num_emp_avg_500,sale_1319.313_to_155862.72,sale_155862.72_to_303035.2,sale_303035.2_to_517717.2,sale_517717.26_to_929078.857,sale_929078.857_to_34412125.8,Years_0-10,Years_11-20,Years_21-30,Years_30-40,Years_40-50,Years_50+,Transactions_0-5,Transactions_6-10,Transactions_11-15,Transactions_16-20,Transactions_21-25,Transactions_25+,probs,success_pred
33429963,0.0,874054.9999999999,1990-03-15,3,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,29,sale_517717.26_to_929078.857,21-30,0-5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8776133875470319,0
33430193,0.0,1277819.5499999998,1983-02-01,7,0.0,0.0,0.0,NOTICE,BRANCH (POS),0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,36,sale_929078.857_to_34412125.8,30-40,6-10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.8625718570731531,0
33431064,0.0,1096598.8,1991-07-15,21,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,1,0,1,6-10,English,8,0,28,sale_929078.857_to_34412125.8,21-30,21-25,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.8478654138798936,0
33431788,172.38,232540.62,2008-09-03,19,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,1-5,English,3,1,11,sale_155862.72_to_303035.2,11-20,16-20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7078762746896633,0
33433305,493.65714285714284,947821.7142857143,1973-12-25,15,1.0,1.0,1.0,NOTICE,MAIL,1,0,0,0,0,0,0,0,1,6-10,English,8,1,46,sale_929078.857_to_34412125.8,40-50,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.3140244231534248,1
33435023,0.0,477834.00000000006,1987-02-01,9,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,101-500,English,300,0,32,sale_303035.2_to_517717.2,30-40,6-10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8316590575940854,0
33436018,0.0,148929.6,2016-06-20,20,0.0,0.0,0.0,NOTICE,BRANCH (POS),0,0,0,0,0,0,0,0,1,6-10,English,8,0,3,sale_1319.313_to_155862.72,0-10,16-20,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.7079974685913386,0
33439899,0.0,88525.8,1997-10-15,3,1.0,1.0,1.0,NOTICE,BRANCH (POS),0,0,0,0,0,0,0,0,0,6-10,English,8,0,22,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8386912178788671,0
33446099,0.0,879465.6,1996-04-15,18,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,11-50,English,25,0,23,sale_517717.26_to_929078.857,21-30,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.8246009767892372,0
33449374,0.0,622300.0,2017-03-18,4,1.0,1.0,1.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,0,NONE,NONE,8,0,2,sale_517717.26_to_929078.857,0-10,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.8926487974953676,0
